index,frb_name,fingerprint,name,timestamp,dm,fluence,width_ms,scattering_ms,ra,dec,snr,peak_freq
32,FRB20180917B,3813893841e6681ad5d59a306015e84cdb05b462efd3e361300821ff27b4f079,FRB20180917B,2018-09-17T00:08:55.687508,857.038,8.3,0.00247,0.0066,238.8,77.53,24.3,456.2
33,FRB20180917A,ce565180afc4dcbfcecf17351d006da8a8be24584984a537f7e4de3b2a5d1253,FRB20180917A,2018-09-17T00:46:38.135963,189.917,46.0,0.00178,0.008,65.54,73.63,46.6,800.2
34,FRB20180917A,45308592b57ebcf12a67133cb353df906a5de4a278ff882dbb743fec8198f0a5,FRB20180917A,2018-09-17T00:46:38.152793,189.917,46.0,0.00345,0.008,65.54,73.63,46.6,701.7
35,FRB20180917A,ddf43a0768632f680a855eb5c35f3fb081dac49a3517bccef3b2e4cf6c95ce12,FRB20180917A,2018-09-17T00:46:38.178739,189.917,46.0,0.0076,0.008,65.54,73.63,46.6,639.7
36,FRB20180918A,6c63e6c278f8d627b98c62a39ca5b1c724c8f88e97000e5282a431c200f374a9,FRB20180918A,2018-09-18T04:11:27.274462,1453.9882,4.1,0.00055,0.00146,301.27,64.96,24.4,617.6
37,FRB20180919B,ffc593ff6624c3c39008354481f7ee8fb7bacafa1a29bba98a5f24a3227dd517,FRB20180919B,2018-09-19T08:29:24.520785,560.2214,3.0,0.000408,,5.34,5.94,18.8,487.6
38,FRB20180919A,cd5b11ef08f29e1d085c95adae6f4ea792747fd67616c7f181e481193bd1a9d3,FRB20180919A,2018-09-19T12:36:11.851229,188.85,3.1,0.00378,,65.54,73.63,14.6,432.6
39,FRB20180920A,d6f3857e10171c7c23391a35c9d39e7aeffd7cc4974943cf450f669162a93532,FRB20180920A,2018-09-20T13:19:36.915168,555.66,8.5,0.00222,0.0091,78.89,28.29,20.2,585.9
40,FRB20180920B,be6cd747789955bc22bab0ebf4994993de0dfb9d92ff935cb5a814e90481847f,FRB20180920B,2018-09-20T20:41:23.335642,463.4,1.7,0.00233,0.00173,191.09,63.52,15.8,421.1
41,FRB20180921A,94a6ea2b1e7d32c555d7e889d56e15628f114a5bba951818db34ee2d2fb16d7a,FRB20180921A,2018-09-21T09:54:02.915654,394.372,2.3,0.00114,,28.92,5.05,11.1,419.9
42,FRB20180922A,6227431cda324581e3b4f581473baf2297d84e9d3a43b17c4c403531057f168f,FRB20180922A,2018-09-22T06:38:34.571907,555.687,7.7,0.000806,0.00031,342.29,69.67,32.4,400.2
43,FRB20180923A,b4685b461890658c3a1edd577a9067e29e5c7123ca5141e63295ee6d49c355bb,FRB20180923A,2018-09-23T05:42:50.598855,219.4397,1.2,0.00015,0.00021,327.61,71.92,24.3,468.9
